Horodateur,Q1. Quel est votre rôle principal dans les projets Agile ?,Q2. Années d’expérience professionnelle,Q3. Années d’expérience en Agile,Q4. Taille de votre organisation,Q5. Secteur d’activité,Q6. Type d’organisation,Q7. Niveau de maturité Agile dans votre organisation,Q8. Localisation principale de votre équipe,Q9. Taille typique de votre équipe Agile,Q10. Domaine principal de vos projets Agile,Q11. Notre équipe Agile utilise des outils d’IA dans les activités quotidiennes du projet.,Q12. Nombre d’outils d’IA distincts utilisés par l’équipe,"Q13. L’utilisation de l’IA est intégrée dans des processus formalisés (procédures, règles, documentation).",Q14. L’utilisation de l’IA est principalement :,Q15. Les résultats produits par l’IA sont revus / validés avant leur utilisation.,"Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q16. IA générative (LLM, assistants conversationnels)]","Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q17. Machine learning prédictif (prévisions, estimation, risques)]",Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q18. Outils d’aide à la décision / recommandations],"Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q19. Outils NLP (analyse de tickets, exigences, feedback)]",Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q20. Génération de code / assistants de développement],Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q21. Génération ou automatisation de tests / QA],Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q22. Tableaux de bord analytiques prédictifs],Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q23. Automatisation des workflows / bots],"Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q24 — ENVISION (Vision produit, périmètre, objectifs)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q25 — SPECULATE (Planification, gestion du backlog, estimation, priorisation)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q26 — EXPLORE (Développement, tests, assistance implémentation, détection de bugs)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q27 — ADAPT (Revue et ajustement, analyse de performance, sprint review)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q28 — CLOSE (Clôture, rétrospective, leçons apprises, actions d’amélioration)]",Mécanismes de création de valeur de l'IA  [Q29. L’utilisation de l’IA a un impact sur la manière dont les décisions sont prises dans nos projets Agile.],"Mécanismes de création de valeur de l'IA  [Q30. L’utilisation de l’IA a un impact sur la qualité des décisions (ex. priorisation, arbitrages).]","Mécanismes de création de valeur de l'IA  [Q31. L’utilisation de l’IA a un impact sur le volume de travail manuel (ex. reporting, synthèses, documentation).]",Mécanismes de création de valeur de l'IA  [Q32. L’utilisation de l’IA a un impact sur les activités de tests et de qualité.],Mécanismes de création de valeur de l'IA  [Q33. L’utilisation de l’IA a un impact sur la communication et la compréhension partagée au sein de l’équipe.],Mécanismes de création de valeur de l'IA  [Q34. L’utilisation de l’IA a un impact sur la visibilité de l’avancement et la coordination du travail.],"Q35. Depuis l’adoption de l’IA, la performance de livraison des sprints a :","Impacts observés depuis l'adoption de l'IA [Q36. Depuis l’adoption de l’IA, la productivité / vélocité a :]","Impacts observés depuis l'adoption de l'IA [Q37. Depuis l’adoption de l’IA, le nombre de défauts après livraison a :]","Impacts observés depuis l'adoption de l'IA [Q38. Depuis l’adoption de l’IA, la dette technique / maintenabilité a :]",Q39. L’impact global de l’IA sur le succès des projets Agile dans votre contexte est :,Q40. Quels sont les principaux défis rencontrés avec l’IA ? (max 3)
23/04/2026 20:47:37,Autre,0–2 ans,0–1 an,1–49 employés,Commerce / Retail,Privée,Agile limité à quelques équipes pilotes,Île-de-France,3–5 personnes,Autre,Parfois,1,3,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",3,Modérément utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Faiblement utilisé,Faiblement utilisé,Rarement,Jamais,Jamais,Rarement,Rarement,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,3,Diminué,Diminué,Fortement diminué,2,"Faible confiance dans les résultats IA, Manque de compétences / formation, Coût des outils"
23/04/2026 20:50:47,Manager / Responsable,3–5 ans,0–1 an,50–249 employés,Conseil / Consulting,Privée,Agile limité à quelques équipes pilotes,Île-de-France,6–9 personnes,Autre,Parfois,2–3,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",2,Modérément utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Faiblement utilisé,Parfois,Parfois,Parfois,Parfois,Parfois,Neutre,Neutre,Plutôt pas d’accord,Neutre,Neutre,Neutre,3,Augmenté,Stable,Diminué,4,"Confidentialité / RGPD, Dépendance excessive, Sécurité"
23/04/2026 21:13:31,Autre,0–2 ans,0–1 an,50–249 employés,Commerce / Retail,Privée,Agile adopté par plusieurs équipes,Sud,10–15 personnes,Développement produit,Rarement,2–3,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",2,Fortement utilisé,Faiblement utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Rarement,Rarement,Souvent,Souvent,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,4,Diminué,Fortement diminué,Stable,3,"Dépendance excessive, Difficulté d’intégration, Sécurité"
23/04/2026 21:54:28,Développeur,0–2 ans,0–1 an,1–49 employés,Finance / Assurance,Publique,Agile limité à quelques équipes pilotes,Île-de-France,6–9 personnes,Développement produit,Parfois,2–3,2,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",1,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Jamais,Rarement,Parfois,Jamais,Rarement,Neutre,Plutôt pas d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,2,Fortement diminué,Fortement diminué,Stable,3,Faible confiance dans les résultats IA
24/04/2026 01:19:52,QA / Test,3–5 ans,2–3 ans,1–49 employés,IT / Logiciel,Publique,Agile largement déployé dans l’organisation,Équipe distribuée / Remote,3–5 personnes,Développement produit,Parfois,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Très fortement utilisé,Faiblement utilisé,Faiblement utilisé,Pas du tout utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Parfois,Rarement,Jamais,Rarement,Rarement,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,3,Stable,Diminué,Diminué,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive, Coût des outils, Sécurité"
24/04/2026 01:51:50,Scrum Master,3–5 ans,2–3 ans,50–249 employés,Autre,Privée,Agile adopté par plusieurs équipes,Sud,3–5 personnes,Autre,Très souvent,6 et +,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Modérément utilisé,Faiblement utilisé,Modérément utilisé,Faiblement utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Fortement utilisé,Rarement,Rarement,Parfois,Souvent,Souvent,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,3,Augmenté,Stable,Stable,4,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Manque de compétences / formation, Sécurité"
24/04/2026 02:24:26,Autre,0–2 ans,0–1 an,1–49 employés,Autre,Non lucratif,Agile adopté par plusieurs équipes,Ouest,6–9 personnes,IT interne,Rarement,4–5,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Rarement,Rarement,Rarement,Jamais,Jamais,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Neutre,Plutôt pas d’accord,2,Fortement diminué,Diminué,Fortement diminué,3,"Faible confiance dans les résultats IA, Dépendance excessive, Manque de compétences / formation"
24/04/2026 03:16:25,Développeur,0–2 ans,0–1 an,1–49 employés,IT / Logiciel,Privée,Agile limité à quelques équipes pilotes,Île-de-France,3–5 personnes,Autre,Parfois,2–3,5,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),5,Fortement utilisé,Modérément utilisé,Faiblement utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Faiblement utilisé,Modérément utilisé,Très souvent,Parfois,Souvent,Très souvent,Rarement,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,4,Stable,Augmenté,Stable,4,"Faible confiance dans les résultats IA, Manque de compétences / formation, Biais / équité"
24/04/2026 15:45:57,Développeur,3–5 ans,0–1 an,1–49 employés,Commerce / Retail,Privée,Agile adopté par plusieurs équipes,Sud,3–5 personnes,Développement produit,Souvent,2–3,5,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Fortement utilisé,Faiblement utilisé,Modérément utilisé,Fortement utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Faiblement utilisé,Jamais,Parfois,Rarement,Très souvent,Parfois,Plutôt pas d’accord,Neutre,Pas du tout d’accord,Tout à fait d’accord,Neutre,Tout à fait d’accord,3,Fortement diminué,Fortement augmenté,Augmenté,5,"Dépendance excessive, Manque de compétences / formation, Difficulté d’intégration, Résistance au changement"
30/04/2026 11:59:52,Autre,16 ans et +,7 ans et +,1000 employés et +,Finance / Assurance,Privée,"Agile structuré via un cadre à grande échelle (SAFe, LeSS, etc.)",Île-de-France,10–15 personnes,IT interne,Souvent,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Faiblement utilisé,Pas du tout utilisé,Fortement utilisé,Modérément utilisé,Modérément utilisé,Faiblement utilisé,Faiblement utilisé,Faiblement utilisé,Rarement,Rarement,Parfois,Rarement,Rarement,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,3,Augmenté,Augmenté,Augmenté,4,"Faible confiance dans les résultats IA, Sécurité, Résistance au changement"
04/05/2026 10:38:12,Spécialiste Data / IA,0–2 ans,2–3 ans,1000 employés et +,Autre,Publique,Agile limité à quelques équipes pilotes,Île-de-France,6–9 personnes,IT interne,Souvent,1,1,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Fortement utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Modérément utilisé,Parfois,Parfois,Parfois,Parfois,Parfois,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,3,Stable,Stable,Stable,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Difficulté d’intégration, Sécurité, Explicabilité"
04/05/2026 10:38:24,Product Owner,0–2 ans,0–1 an,1000 employés et +,Finance / Assurance,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,IT interne,Jamais,0,1,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",5,Faiblement utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Jamais,Jamais,Jamais,Jamais,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,3,Stable,Stable,Stable,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Sécurité"
04/05/2026 10:41:09,Développeur,0–2 ans,2–3 ans,1–49 employés,IT / Logiciel,Privée,Agile adopté par plusieurs équipes,Île-de-France,3–5 personnes,IT interne,Souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Fortement utilisé,Très fortement utilisé,Fortement utilisé,Modérément utilisé,Très fortement utilisé,Très fortement utilisé,Fortement utilisé,Très fortement utilisé,Souvent,Très souvent,Très souvent,Très souvent,Souvent,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,5,Augmenté,Augmenté,Stable,4,"Confidentialité / RGPD, Coût des outils, Gouvernance / absence de règles"
04/05/2026 10:45:33,Développeur,0–2 ans,2–3 ans,1000 employés et +,IT / Logiciel,Privée,Agile largement déployé dans l’organisation,Multi-sites,10–15 personnes,Développement produit,Très souvent,2–3,4,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),4,Très fortement utilisé,Modérément utilisé,Faiblement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Fortement utilisé,Parfois,Souvent,Souvent,Souvent,Souvent,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,3,Augmenté,Stable,Stable,4,"Dépendance excessive, Coût des outils"
04/05/2026 10:55:27,Chef de projet / Project Manager,0–2 ans,2–3 ans,1000 employés et +,Industrie,Privée,Agile adopté par plusieurs équipes,Sud,16 personnes et +,Processus métier,Souvent,6 et +,2,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),4,Fortement utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Fortement utilisé,Modérément utilisé,Faiblement utilisé,Modérément utilisé,Parfois,Souvent,Souvent,Parfois,Rarement,Plutôt d’accord,Neutre,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,4,Augmenté,Diminué,Stable,4,"Confidentialité / RGPD, Dépendance excessive, Sécurité"
04/05/2026 11:17:59,Autre,16 ans et +,7 ans et +,1000 employés et +,Finance / Assurance,Privée,"Agile structuré via un cadre à grande échelle (SAFe, LeSS, etc.)",Île-de-France,10–15 personnes,Développement produit,Parfois,2–3,1,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",2,Fortement utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Rarement,Rarement,Rarement,Rarement,Rarement,Pas du tout d’accord,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Neutre,Neutre,2,Diminué,Augmenté,Fortement augmenté,2,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive, Manque de compétences / formation, Coût des outils, Difficulté d’intégration, Sécurité, Biais / équité, Gouvernance / absence de règles, Explicabilité"
04/05/2026 15:39:00,Développeur,3–5 ans,2–3 ans,50–249 employés,IT / Logiciel,Semi-publique,Agile largement déployé dans l’organisation,Île-de-France,3–5 personnes,IT interne,Parfois,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Fortement utilisé,Faiblement utilisé,Fortement utilisé,Modérément utilisé,Très fortement utilisé,Très fortement utilisé,Modérément utilisé,Modérément utilisé,Rarement,Souvent,Souvent,Souvent,Souvent,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Plutôt pas d’accord,4,Augmenté,Diminué,Stable,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive, Manque de compétences / formation, Sécurité, Gouvernance / absence de règles, Explicabilité, Résistance au changement"
04/05/2026 16:12:08,Développeur,3–5 ans,0–1 an,1000 employés et +,Finance / Assurance,Privée,Agile largement déployé dans l’organisation,Île-de-France,10–15 personnes,IT interne,Parfois,1,1,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Fortement utilisé,Fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Jamais,Souvent,Jamais,Jamais,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,3,Augmenté,Stable,Stable,4,"Confidentialité / RGPD, Coût des outils, Explicabilité"
05/05/2026 13:55:34,Chef de projet / Project Manager,0–2 ans,0–1 an,1000 employés et +,Autre,Privée,Agile adopté par plusieurs équipes,Multi-sites,6–9 personnes,Processus métier,Souvent,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Fortement utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Modérément utilisé,Fortement utilisé,Parfois,Rarement,Parfois,Parfois,Parfois,Neutre,Neutre,Plutôt d’accord,Neutre,Neutre,Neutre,4,Stable,Stable,Stable,3,"Confidentialité / RGPD, Gouvernance / absence de règles"
05/05/2026 13:56:37,Spécialiste Data / IA,0–2 ans,2–3 ans,1000 employés et +,Finance / Assurance,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Produit Data / IA,Souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Fortement utilisé,Fortement utilisé,Parfois,Souvent,Très souvent,Souvent,Souvent,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,5,Fortement augmenté,Diminué,Diminué,4,"Confidentialité / RGPD, Dépendance excessive, Coût des outils"
05/05/2026 14:08:15,Développeur,0–2 ans,2–3 ans,1000 employés et +,IT / Logiciel,Privée,Agile largement déployé dans l’organisation,Île-de-France,6–9 personnes,Développement produit,Souvent,2–3,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Fortement utilisé,Pas du tout utilisé,Faiblement utilisé,Faiblement utilisé,Très fortement utilisé,Très fortement utilisé,Modérément utilisé,Pas du tout utilisé,Rarement,Souvent,Très souvent,Jamais,Jamais,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,4,Augmenté,Stable,Stable,4,"Confidentialité / RGPD, Manque de compétences / formation, Gouvernance / absence de règles"
05/05/2026 14:09:00,Développeur,0–2 ans,2–3 ans,1000 employés et +,Conseil / Consulting,Privée,Agile largement déployé dans l’organisation,Île-de-France,16 personnes et +,Développement produit,Très souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Très fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Très fortement utilisé,Fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Rarement,Jamais,Très souvent,Jamais,Jamais,Pas du tout d’accord,Pas du tout d’accord,Plutôt d’accord,Neutre,Pas du tout d’accord,Pas du tout d’accord,3,Stable,Stable,Stable,3,"Confidentialité / RGPD, Sécurité, Gouvernance / absence de règles"
07/05/2026 11:25:07,Spécialiste Data / IA,0–2 ans,0–1 an,1–49 employés,IT / Logiciel,Privée,Agile largement déployé dans l’organisation,Île-de-France,6–9 personnes,Produit Data / IA,Rarement,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Modérément utilisé,Modérément utilisé,Faiblement utilisé,Parfois,Parfois,Très souvent,Souvent,Rarement,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,3,Augmenté,Stable,Stable,4,"Confidentialité / RGPD, Dépendance excessive, Manque de compétences / formation, Sécurité, Biais / équité, Gouvernance / absence de règles"
12/05/2026 10:22:27,Product Owner,0–2 ans,2–3 ans,1000 employés et +,Conseil / Consulting,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Processus métier,Très souvent,1,3,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),4,Fortement utilisé,Pas du tout utilisé,Faiblement utilisé,Faiblement utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Fortement utilisé,Rarement,Souvent,Très souvent,Souvent,Rarement,Plutôt pas d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,4,Stable,Diminué,Augmenté,4,"Faible confiance dans les résultats IA, Dépendance excessive, Difficulté d’intégration"
16/05/2026 12:11:41,Chef de projet / Project Manager,3–5 ans,2–3 ans,250–999 employés,Commerce / Retail,Privée,Agile largement déployé dans l’organisation,Île-de-France,6–9 personnes,Produit Data / IA,Souvent,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Fortement utilisé,Fortement utilisé,Modérément utilisé,Modérément utilisé,Très fortement utilisé,Très fortement utilisé,Modérément utilisé,Très fortement utilisé,Parfois,Souvent,Très souvent,Souvent,Parfois,Plutôt d’accord,Neutre,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,4,Augmenté,Diminué,Stable,4,"Confidentialité / RGPD, Coût des outils, Gouvernance / absence de règles"
18/05/2026 19:59:49,Manager / Responsable,16 ans et +,7 ans et +,50–249 employés,Commerce / Retail,Privée,Agile adopté par plusieurs équipes,Équipe distribuée / Remote,6–9 personnes,Produit Data / IA,Souvent,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Modérément utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Faiblement utilisé,Souvent,Parfois,Parfois,Parfois,Parfois,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,3,Stable,Diminué,Stable,3,"Faible confiance dans les résultats IA, Manque de compétences / formation, Coût des outils, Sécurité, Gouvernance / absence de règles, Résistance au changement"
25/05/2026 13:35:22,Product Owner,6–10 ans,2–3 ans,250–999 employés,Finance / Assurance,Privée,Agile largement déployé dans l’organisation,Île-de-France,6–9 personnes,Produit Data / IA,Souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Faiblement utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Souvent,Rarement,Souvent,Souvent,Parfois,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,4,Augmenté,Diminué,Stable,4,"Confidentialité / RGPD, Coût des outils, Difficulté d’intégration"
26/05/2026 14:56:08,Product Owner,0–2 ans,0–1 an,1–49 employés,Finance / Assurance,Privée,Agile limité à quelques équipes pilotes,Ouest,6–9 personnes,IT interne,Rarement,1,3,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",5,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Modérément utilisé,Rarement,Jamais,Rarement,Jamais,Jamais,Plutôt pas d’accord,Pas du tout d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Neutre,3,Augmenté,Stable,Stable,3,"Confidentialité / RGPD, Sécurité, Gouvernance / absence de règles"
31/05/2026 17:00:54,Manager / Responsable,3–5 ans,2–3 ans,1–49 employés,Commerce / Retail,Privée,Agile limité à quelques équipes pilotes,Île-de-France,6–9 personnes,Produit Data / IA,Souvent,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Faiblement utilisé,Fortement utilisé,Modérément utilisé,Fortement utilisé,Fortement utilisé,Faiblement utilisé,Très fortement utilisé,Faiblement utilisé,Rarement,Souvent,Parfois,Parfois,Jamais,Plutôt pas d’accord,Neutre,Tout à fait d’accord,Neutre,Plutôt pas d’accord,Neutre,4,Augmenté,Diminué,Stable,4,"Confidentialité / RGPD, Coût des outils, Sécurité, Biais / équité, Résistance au changement"
31/05/2026 17:01:26,Autre,0–2 ans,0–1 an,1–49 employés,Conseil / Consulting,Publique,Agile limité à quelques équipes pilotes,Île-de-France,3–5 personnes,Produit Data / IA,Souvent,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Fortement utilisé,Fortement utilisé,Modérément utilisé,Pas du tout utilisé,Fortement utilisé,Faiblement utilisé,Modérément utilisé,Modérément utilisé,Jamais,Rarement,Jamais,Rarement,Rarement,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Neutre,Neutre,Neutre,2,Fortement diminué,Fortement diminué,Fortement diminué,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive, Coût des outils, Difficulté d’intégration"
31/05/2026 17:05:34,Autre,0–2 ans,0–1 an,1–49 employés,IT / Logiciel,Privée,Agile limité à quelques équipes pilotes,Équipe distribuée / Remote,3–5 personnes,Infrastructure / Cloud,Parfois,2–3,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",3,Très fortement utilisé,Modérément utilisé,Modérément utilisé,Faiblement utilisé,Faiblement utilisé,Faiblement utilisé,Faiblement utilisé,Faiblement utilisé,Jamais,Jamais,Jamais,Jamais,Jamais,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,3,Fortement diminué,Stable,Diminué,3,"Confidentialité / RGPD, Sécurité"
31/05/2026 17:06:09,Développeur,0–2 ans,0–1 an,1–49 employés,IT / Logiciel,Privée,Agile limité à quelques équipes pilotes,Île-de-France,3–5 personnes,Développement produit,Souvent,2–3,5,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Fortement utilisé,Pas du tout utilisé,Fortement utilisé,Pas du tout utilisé,Fortement utilisé,Fortement utilisé,Pas du tout utilisé,Modérément utilisé,Jamais,Jamais,Très souvent,Très souvent,Très souvent,Tout à fait d’accord,Neutre,Neutre,Neutre,Neutre,Neutre,1,Fortement augmenté,Fortement diminué,Stable,5,Dépendance excessive
31/05/2026 17:09:11,Spécialiste Data / IA,0–2 ans,2–3 ans,250–999 employés,Commerce / Retail,Privée,Agile limité à quelques équipes pilotes,Île-de-France,6–9 personnes,Produit Data / IA,Souvent,2–3,4,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Fortement utilisé,Faiblement utilisé,Faiblement utilisé,Pas du tout utilisé,Fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Parfois,Parfois,Souvent,Souvent,Parfois,Neutre,Pas du tout d’accord,Tout à fait d’accord,Plutôt d’accord,Neutre,Neutre,4,Augmenté,Diminué,Diminué,4,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Résistance au changement"
31/05/2026 17:09:11,Product Owner,6–10 ans,2–3 ans,50–249 employés,IT / Logiciel,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,IT interne,Rarement,1,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Modérément utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Faiblement utilisé,Faiblement utilisé,Modérément utilisé,Faiblement utilisé,Rarement,Rarement,Rarement,Rarement,Rarement,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Neutre,3,Stable,Stable,Stable,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Manque de compétences / formation, Coût des outils, Sécurité"
